name,longitude,latitude
neuflieux,3.16667,49.6
sainte croix,3.78333,49.4833
pargny la dhuys,3.55,48.95
brenelle,3.53333,49.3667
urvillers,3.31667,49.7833
laversine,3.16667,49.35
origny sainte benoite,3.5,49.8333
cuiry housse,3.48333,49.3
la neuville les dorengt,3.68333,49.9667
blanzy les fismes,3.66667,49.3333
hargicourt,3.18,49.9623
villers sur fere,3.53333,49.1833
la herie,4.05,49.8833
bonnesvalyn,3.31667,49.1167
haution,3.83333,49.85
berzy le sec,3.31667,49.3333
la vallee au ble,3.78333,49.8667
le catelet,3.25,50
gizy,3.76667,49.6
saint algis,3.81667,49.8833
saint aubin,3.18333,49.5167
bancigny,4.01667,49.8
villeneuve sur fere,3.46667,49.1833
fleury,3.15639,49.2581
quincy sous le mont,3.55,49.3
besny et loizy,3.58333,49.6
chery les rozoy,4.08333,49.7167
chauny,3.21667,49.6167
sommette eaucourt,3.11667,49.7333
lierval,3.61667,49.4833
chezy sur marne,3.36667,48.9833
oulches la vallee foulon,3.75,49.4333
anizy le chateau,3.45,49.5
maizy,3.73333,49.3833
fourdrain,3.46667,49.6
nampteuil sous muret,3.41667,49.3
urcel,3.55,49.5
louatre,3.25,49.25
barzy en thierache,3.75,50.0333
conde en brie,3.55,49
dampleux,3.15,49.25
sommelans,3.3,49.1333
pontruet,3.23333,49.9
oigny en valois,3.13333,49.2167
loupeigne,3.53333,49.25
lhuys,3.55,49.2833
eparcy,4.06667,49.8667
la chapelle monthodon,3.63333,49.0167
morsain,3.18333,49.45
jaulgonne,3.53333,49.0833
chermizy ailles,3.73333,49.4667
becquigny,3.46973,50.0173
festieux,3.75,49.5167
villers les guise,3.68333,49.9
nampcelles la cour,4,49.7833
montigny en arrouaise,3.48333,49.9
berrieux,3.85,49.4833
chigny,3.76667,49.9167
muret et crouttes,3.41667,49.2833
flavigny le grand et beaurain,3.66473,49.8909
laon,3.61667,49.5667
saint clement,4.06667,49.7667
dercy,3.68333,49.7
anguilcourt le sart,3.43333,49.6833
villers en prayeres,3.66667,49.3833
chalandry,3.63333,49.6833
laval en laonnois,3.6,49.5
fressancourt,3.41667,49.6167
le sourd,3.75,49.8667
fontaine notre dame,3.43333,49.8833
chery chartreuve,3.61667,49.2667
mortefontaine,3.07611,49.3317
serain,3.36667,50.0167
maast et violaine,3.45,49.2833
neuville sur ailette,3.7,49.4667
francilly selency,3.23333,49.85
bezu le guery,3.23333,49.0167
marle,3.76667,49.7333
leme,3.76667,49.8333
cierges,3.6,49.1667
craonne,3.78333,49.4333
courtemont varennes,3.55,49.0667
pommiers,3.26667,49.4
gland,3.46667,49.05
landouzy la cour,3.98333,49.85
montigny les conde,3.56667,48.9833
leuilly sous coucy,3.33333,49.4833
ploisy,3.3,49.3333
serval,3.68333,49.35
billy sur ourcq,3.3,49.2167
ambrief,3.4,49.3167
prisces,3.86667,49.7833
roupy,3.18333,49.8167
roncheres,3.6,49.15
lugny,3.81667,49.7833
chezy en orxois,3.18333,49.1333
dhuizel,3.61667,49.3667
etampes sur marne,3.41667,49.0333
vaux en vermandois,3.15,49.8167
boue,3.7,50.0167
la fere,3.36667,49.6667
saint michel,4.13333,49.9167
castres,3.23333,49.8
mesbrecourt richecourt,3.55,49.7
